EECS 110,Discover Computer Science,Enforced Prerequisite: None. (2 credits).,https://atlas.ai.umich.edu/course/EECS%20110/
EECS 180,Exam/Transfer Introductory Computer Programming Credit,Cannot receive credit if student has credit for EECS 183 or ENGR 101 or ENGR 151 (3-4 credits).,https://atlas.ai.umich.edu/course/EECS%20180/
EECS 183,Elementary Programming Concepts,Prerequisite: None. (Credit for only one: EECS 180, EECS 183, ENGR 101 or ENGR 151) (4 credits),https://atlas.ai.umich.edu/course/EECS%20183/
EECS 198,Special Topics,Advisory Prerequisite: Permission of instructor. (1-4 credits),https://atlas.ai.umich.edu/course/EECS%20198/
EECS 200,Electrical Engineering Systems Design I,Advisory Prerequisite: ENGR 100 or ENGR 101 or ENGR 151 or EECS 180 or EECS 280. Preceded or accompanied by: EECS 215 Minimum grade of “C” for advised prerequisites. (2,https://atlas.ai.umich.edu/course/EECS%20200/
EECS 201,Computer Science Pragmatics,Prerequisite: EECS 180 or EECS 183 or ENGR 101 or ENGR 151 or ROB 102 or preceded or accompanied by (EECS 280 or EECS 281). Minimum grade of “C” required for enforced prerequisites. (1 credit),https://atlas.ai.umich.edu/course/EECS%20201/
EECS 203,Discrete Mathematics,Enforced Prerequisite: (MATH 115 or 116 or 119 or 120 or 121 or 156 or 175 or 176 or 185 or 186 or 214 or 215 or 216 or 217 or 255 or 256 or 285 or 286 or 295 or 296 or 417 or 419). Minimum grade of C required for enforced prerequisites.  (4 credits) [Fewer than two previous elections of EECS 203 (incl. grades of W.I, VI, and AUD)],https://atlas.ai.umich.edu/course/EECS%20203/
EECS 215,Introduction to Electronic Circuits,Prerequisite: (MATH 116 or 121 or 156) and (ENGR 101 or 151 or EECS 180 or 183 or preceded or accompanied by EECS 280) and (preceded or accompanied by: PHYSICS 240 or 260); (C or better, No OP/F),https://atlas.ai.umich.edu/course/EECS%20215/
EECS 216,Introduction to Signals and Systems,Prerequisite: EECS 215 or EECS 314 or BIOMEDE 211. Advisory Prerequisite: Preceded or accompanied by MATH 216. (4 credits).,https://atlas.ai.umich.edu/course/EECS%20216/
EECS 230,Electromagnetics I,Prerequisite: (MATH 215 and PHYSICS 240; C or better, No OP/F) or (Co-requisite: EECS 215; C or better, No OP/F). (4 credits).,https://atlas.ai.umich.edu/course/EECS%20230/
EECS 250 (NAVSCI 202),Electronic Sensing Systems,Prerequisite: Preceded or accompanied by EECS 230 or PHYSICS 240. (3 credits).,https://atlas.ai.umich.edu/course/EECS%20250/
EECS 270,Introduction to Logic Design,Prerequisite:,https://atlas.ai.umich.edu/course/EECS%20270/
EECS 280,Programming and Introductory Data Structures,Prerequisite: ENGR 101 or ENGR 151 or EECS 180 or EECS 183 or ROB 102. Minimum grade of “C” required for enforced prerequisites. (4 credits) [Fewer than two previous elections of EECS 280 (incl. grades of W.I, VI, and AUD)],https://atlas.ai.umich.edu/course/EECS%20280/
EECS 281,Data Structures and Algorithms,Prerequisite: (EECS 203 or Math 465 or Math 565) and EECS 280. Minimum grade of “C” required for enforced prerequisites. Advisory Prerequisite: Minimum GPA of 2.5 over the best grade for each enforced prerequisite. (4 credits) [(EECS 203 or MATH 465 or 565) and EECS 280; (C or better, NO OP/F)] and [Fewer than two previous elections of EECS 281 (incl. grades of W, I, VI, and AUD)],https://atlas.ai.umich.edu/course/EECS%20281/
EECS 285,Practical Programming in Java,Prerequisite: EECS 280. Minimum grade of C required for enforced prerequisites. (2 credits),https://atlas.ai.umich.edu/course/EECS%20285/
EECS 298,Special Topics,Advisory Prerequisite: Permission of instructor. (1-4 credits),https://atlas.ai.umich.edu/course/EECS%20298/
EECS 300,Electrical Engineering Systems Design II,Prerequisite: EECS 200, at least 3 of 4 (215, 216, 230, 280), Co-requisite EECS: 4th of 4 (215, 216, 230, 280) Minimum grade of C required for enforced prerequisites. (3 credits),https://atlas.ai.umich.edu/course/EECS%20300/
EECS 301,Probabilistic Methods in Engineering,Advisory Prerequisite: Preceded or accompanied by EECS 216. (4 credits),https://atlas.ai.umich.edu/course/EECS%20301/
EECS 311,Analog Circuits,Prerequisite: EECS 215 and EECS 216. (4 credits),https://atlas.ai.umich.edu/course/EECS%20311/
EECS 312,Digital Integrated Circuits,Prerequisite: EECS 215 and Math 216. Minimum grade of “C” required for enforced prerequisites. (4 credits).,https://atlas.ai.umich.edu/course/EECS%20312/
EECS 314,Electrical Circuits, Systems, and Applications,Prerequisite: MATH 214 or MATH 216, PHYSICS 240. Credit for only one: EECS 215, or EECS 314. Not open to CE or EE students. (4 credits).,https://atlas.ai.umich.edu/course/EECS%20314/
